"Plant_id";"Andrena_sp";"Anthophora_sp";"Apis_mellifera";"Attagenus_sp";"Bombus_terrestris";"Bombylius_sp";"Ceratina_sp";"Chalicodoma_sicula";"Chrysolina_americana";"Eristalis_sp";"Eucera_sp";"Lasioglossum_sp1";"Lasioglossum_sp2";"Lobonyx_aeneus";"Malachius_sp";"Malthodes_sp";"Rhyncomyia_cupraea";"Syrphidae_sp3";"Syrphidae_sp4";"Xylocopa_cantabrita"
"151";0;0;0;0;0;0;0;0;0;0.0553525445512741;0;0;0.253662975879475;0;0.0810291565209652;0;0;0.102812413626997;0.0553525445512741;0
"152";0;0;0;0;0;0;0;0;0;0;0;0;1.81944288659772;0.0316789862724393;0.0848763947186137;0;0;0;0;0
"153";0;0;0;0;0;0;0;0;0;0;0;0;0.237791311195337;0;0;0;0;0.0538429460643624;0;0
"154";0;0;0;0.109147998684317;0;0;0;0;0;0;0;0;0.472670182085018;0;0;0;0;0.257069490236986;0;0
"155";0;0;0;0;0;0.12547024417327;0;0;0;0;0;0;0.367832586917237;0.180810826103313;0;0;0;0;0;0
"156";0;0;0;0;0;0;0;0;0;0;0;0;1.84120192650044;0.0241243555043504;0;0;0;0;0;0
"157";0;0.0677200902934537;0;0;0;0;0;0;0;0;0;0;5.13756132699192;0.0329489291598023;0.0126958690825038;0;0;0;0;0
"158";0;0;0;0;0;0;0;0;0;0.0613172584037821;0;0;0.275374679185117;0;0.0315955766192733;0.011305033115465;0;0;0;0
"160";0;0;0;0;0;0;0;0;0;0.0150376363104413;0;0;3.50144406174963;0;0;0;0;0;0;0
"161";0;0;0;0;0;0;0;0;0;0.0937011972930765;0;0;1.40703564873357;0;0;0;0;0.0348666763472487;0;0
"162";0;0;0;0;0;0;0;0;0;0.0393415152418184;0;0;0.629366936667928;0;0;0;0;0;0;0
"163";0;0;0;0;0;0.0632244467860906;0;0;0;0;0;0;0.611110345764937;0.0998336106489185;0.0716811233046793;0;0;0;0;0
"164";0;0;0;0;0;0;0;0;0;0;0;0;0.166394254011372;0;0;0;0;0;0;0
"165";0;0;0;0;0;0;0;0;0;0;0;0;1.13879943184485;0;0;0;0;0;0;0
"166";0;0;0;0;0;0;0;0;0;0;0;0.522829245389482;0;0;0;0;0;0;0;0
"167";0;0;0;0;0;0;0;0;0;0;0;0.0115849471488124;0;0;0;0;0;0;0;0
"168";0;0;0;0;0;0;0;0;0;0;0;1.67833374562413;0;0;0;0;0;0;0;0
"169";0;0;0.0658978583196046;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"171";0;0;0;0;0;0;0.519730510105871;0;0;0;0;0.900768546760892;0;0;0;0;0;0;0;0
"172";0;0;0.362092650418535;0;0;0;0;0;0;0;0;0.131466777988413;0;0;0;0;0;0;0;0
"173";0;0;0.0550964187327824;0;0;0;0;0;0;0;0;0.325544663849331;0;0;0;0;0;0;0;0
"175";0.0292825768667643;0;0;0;0;0;0;0;0;0;0;0.0861656294877932;0;0;0;0;0;0;0;0
"177";0;0;0;0;0;0;0;0;0;0;0;0.0495578294699197;0;0;0;0;0;0;0;0
"178";0;0;0.130932896890344;0;0;0;0;0.0967741935483871;0;0;0;0.422680956654876;0;0;0;0;0;0;0;0
"179";0;0;0;0;0;0;0;0;0;0;0;0.134678638204181;0;0;0;0;0;0;0;0
"180";0;0;0.140700253809167;0;0;0;0;0;0;0;0;0.382045936130927;0;0;0;0;0;0;0;0
"309";0;0;1.00316336107099;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"310";0;0;0.713128038897893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"313";0;0;1.03275957801222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"314";0;0;0;0;0.0994475138121547;0;0;0;0;0;0.694846554719166;0;0;0;0;0;0;0;0;0
"315";0;0;0.690284339331737;0;0;0;0;0;0;0;0;0;0;0;0;0;1.68828128579542;0;0;0
"316";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.274202475725644
"317";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.165289256198347;0;0;0
"318";0;0;0;0;22.7314087186699;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"319";0;0;0;0;0;0;0;0.365318282542246;0;0;0;0;0;0;0;0;0;0;0;0
"46";0;0;0;0;0;0;0;0;0;0;0;0.364826941066417;0;0;0;0;0;0;0;0.0841908325537886
"47";0;0;0;0;0;0;0;0;0;0;0;0.0402014866779589;0;0;0;0;0;0;0;0
"48";0;0;0.702717277309807;0;0;0;0;0;0;0.341463414634146;0;0.350933908309623;0;0;0;0;0;0;0;0
"49";0;0;0.0305966343702193;0;0;0.550739418663947;0;0;0;0;0;0.26994519769743;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0.00960815531603218;0;0.213197969543147;0.0330760749724366;0;0;0.70504035594089;0;0;0;0;0;0;0;0.0203833571703395
"51";0;0;3.65818530964954;0;0;0;0;0;0;0;0;0.631857507903659;0;0;0;0;0;0;0;0.489678348535766
"52";0;0;0.0246362956821338;0;0;0;0;0;0;0;0;0.626294097927471;0;0;0;0;0;0;0;0
"53";0;0;3.76588829158033;0;0;0;0;0;0;0;0;0.1407789770061;0;0;0;0;0;0;0;0
"54";0;0;0.169324649232798;0;0;0;0;0;0;0;0;0.319568206370336;0;0;0;0;0;0;0;0
"55";0;0;0.0278461163529228;0;0;0;0;0;0;0;0;0.0486251981417593;0;0;0;0;0;0;0;0
"56";0;0;0;0;0;0;0;0;0;0;0;0.0215526059282051;0;0;0;0;0;0.0347612489139372;0;0
"58";0;0;0.433401601552136;0;0;0.0976360632362008;0;0;0;0;0;0.425199465575676;0;0;0;0;0;0;0;0
"60";0;0;0.126604702921363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
