Plot_slice,Random,XY,Regular,Tasa_Random,Tasa_XY,Tasa_Regular
A1,si,si,si,0.0083,0.0085,0.0074
A2,si,si,si,0.0144,0.0159,0.013
A3,si,si,si,0.0554,0.0677,0.0547
B1,si,si,si,0.0155,0.0161,0.0139
B2,si,si,si,0.0045,0.0044,0.0042
B3,si,si,si,0.0054,0.0062,0.0053
C1,si,si,si,0.0224,0.024,0.0209
C2,si,si,si,0.0149,0.015,0.0131
C3,si,si,si,0.0404,0.0482,0.039
D1,si,si,si,0.0401,0.0451,0.0312
D2,si,si,si,0.0071,0.0114,0.0062
D3,si,si,si,0.0413,0.0543,0.0312
E1,si,si,si,0.0236,0.0246,0.0207
E2,si,si,si,0.0022,0.0029,0.0019
F1,si,si,si,0.0139,0.0129,0.014
F2,si,si,si,0.0058,0.0069,0.0056